North America,NAC,58434.03088,60976.80192
Namibia,NAM,5646.456007,5931.453885
New Caledonia,NCL,,
Niger,NER,375.8694897,411.6889425
Nigeria,NGA,1968.559588,2028.18197
Nicaragua,NIC,2168.19124,2028.896891
Netherlands,NLD,48554.99228,53024.05921
Norway,NOR,75704.2487,81807.19804
Nepal,NPL,900.5739036,1025.798356
Nauru,NRU,8844.41715,9030.071064
New Zealand,NZL,42260.12518,41966.00918
OECD members,OED,38411.37254,40359.76391
Oman,OMN,15170.35174,16418.92693
Other small states,OSS,13422.24394,14682.01353
Pakistan,PAK,1466.843096,1472.893134
Panama,PAN,15166.12443,15575.07255
Peru,PER,6700.81138,6947.256627
Philippines,PHL,2981.934151,3102.713363
Palau,PLW,16274.90454,17317.87262
Papua New Guinea,PNG,2640.153572,2722.604679
Poland,POL,13861.05156,15424.04603
Pre-demographic dividend,PRE,1458.126344,1427.934483
Puerto Rico,PRI,31353.43418,31651.34815
"Korea, Dem. People’s Rep.",PRK,,
Portugal,PRT,21291.43099,23145.73496
Paraguay,PRY,5680.580768,5871.467064
West Bank and Gaza,PSE,3254.485887,3198.866644
Pacific island small states,PSS,4080.526197,4192.618455
Post-demographic dividend,PST,42725.2277,45070.10927
French Polynesia,PYF,,
Qatar,QAT,61264.39648,69026.4688
Romania,ROU,10792.95628,12301.1864
Russian Federation,RUS,10750.58712,11288.87244
Rwanda,RWA,762.4991636,772.9678384
South Asia,SAS,1867.272248,1905.76641
Saudi Arabia,SAU,20803.74257,23219.13048
Sudan,SDN,3015.02443,977.2736357
Senegal,SEN,1367.218948,1521.953554
Singapore,SGP,60297.79378,64581.94402
Solomon Islands,SLB,2077.126038,2162.651804
Sierra Leone,SLE,499.3807078,522.8581284
El Salvador,SLV,3902.237622,4058.244652
San Marino,SMR,48494.55141,
Somalia,SOM,309.066059,314.5623635
Serbia,SRB,6284.192672,7233.995874
Sub-Saharan Africa (excluding high income),SSA,1598.050477,1572.86396
South Sudan,SSD,,
Sub-Saharan Africa,SSF,1599.336187,1574.197871
Small states,SST,12125.16296,13202.51903
Sao Tome and Principe,STP,1811.009633,2001.140902
Suriname,SUR,5379.119415,5950.213947
Slovak Republic,SVK,17579.2594,19546.9019
Slovenia,SVN,23449.57452,26234.0229
Sweden,SWE,53253.47664,54111.97217
Eswatini,SWZ,3941.900457,4139.961949
Sint Maarten (Dutch part),SXM,,
Seychelles,SYC,15683.6565,16433.93529
Syrian Arab Republic,SYR,,
Turks and Caicos Islands,TCA,25933.60744,27142.2278
Chad,TCD,664.3033157,730.2446076
East Asia & Pacific (IDA & IBRD countries),TEA,7156.320319,7902.849346
Europe & Central Asia (IDA & IBRD countries),TEC,8516.291877,8788.47217
Togo,TGO,619.066371,671.8406876
Thailand,THA,6578.188865,7273.563207
Tajikistan,TJK,806.0415731,826.6215305
Turkmenistan,TKM,6587.090316,6966.635411
Latin America & the Caribbean (IDA & IBRD countries),TLA,9253.666484,8881.077105
Timor-Leste,TLS,2000.601191,2035.533908
Middle East & North Africa (IDA & IBRD countries),TMN,3823.8332,
Tonga,TON,4217.476507,4364.015561
South Asia (IDA & IBRD),TSA,1867.272248,1905.76641
Sub-Saharan Africa (IDA & IBRD countries),TSS,1599.336187,1574.197871
Trinidad and Tobago,TTO,16076.08204,16843.70161
Tunisia,TUN,3494.318864,3446.607238
Turkey,TUR,10499.74557,9311.366117
Tuvalu,TUV,3572.608367,3700.710677
Tanzania,TZA,1004.841121,1050.675254
Uganda,UGA,631.5227198,643.1396702
Ukraine,UKR,2640.675677,3095.173581
Upper middle income,UMC,8663.27389,9200.453954
Uruguay,URY,16437.24487,17277.97011
United States,USA,59927.92983,62641.01457
Uzbekistan,UZB,1826.56704,1532.371639
St. Vincent and the Grenadines,VCT,7149.630866,7377.678832
"Venezuela, RB",VEN,,
British Virgin Islands,VGB,,
Virgin Islands (U.S.),VIR,35938.02439,
Vietnam,VNM,2365.621666,2563.820731
Vanuatu,VUT,2976.107116,3033.408146
World,WLD,10769.67711,11298.30371
Samoa,WSM,4307.805464,4392.467755
Kosovo,XKX,3948.08815,4281.292329
"Yemen, Rep.",YEM,963.494721,944.4084994
South Africa,ZAF,6127.462297,6374.015446
Zambia,ZMB,1534.865371,1539.900158
Zimbabwe,ZWE,1602.403507,2146.996385
